# CFRU hook symbols resolved against Radical Red v4.1
# ROM pinned by ../rom.sha1. Generated by tools/resolve_cfru_hooks.py — do not hand-edit.
# 539 resolved, 84 unresolved (of 623 hooks)
#
# name  vanilla_hook_addr  rr_compiled_addr (Thumb bit set)

ChangeSummaryScreenMonSinglesDoubles                    0x0813B20C  0x090B4841
SummaryScreenOTGenderColour                             0x08136270  0x090435C5
CB2_DoHallOfFameScreen                                  0x080F1EFC  0x090BB4A5
Task_Hof_InitTeamSaveData                               0x080F2114  0x090B9123
Task_Hof_DisplayMon                                     0x080F22B0  0x090B920D
Task_Hof_PlayMonCryAndPrintInfo                         0x080F23A0  0x090BBAD5
Task_Hof_TryDisplayAnotherMon                           0x080F2424  0x090B92D1
Task_HofPC_CopySaveData                                 0x080F2AA4  0x090BB711
Task_HofPC_DrawSpritesPrintText                         0x080F2B6C  0x090B938D
Task_HofPC_PrintMonInfo                                 0x080F2D60  0x090BB9F1
Task_Hof_InitMonData                                    0x080F1F74  0x090B94FD
HallOfFame_PrintWelcomeText                             0x080F313C  0x090BB4F1
HallOfFame_PrintMonInfo                                 0x080F3194  0x090BB7A5
WriteTypeHook                                           0x08030984  0x090000F5
DisplayTypeHook                                         0x081368CC  0x09000121
GetEvolutionTargetSpecies                               0x08042EC4  0x09093855
CreateShedinja                                          0x080CE748  0x09093EB9
RemoveEvoItem                                           0x080CED5C  0x090000D5
EvolutionMovesHook                                      0x080CEDD4  0x09042E49
FollowMe_SetStateHook                                   0x08063CF4  0x09042965
FollowMe_CollisionHook                                  0x08063928  0x090429A1
FollowMe_SurfHook                                       0x08086B00  0x090429CF
FollowMe_SurfBagHook                                    0x08056D12  0x090429F5
FollowMe_DismountSurf                                   0x0805D140  0x09042A1D
FollowMe_BikeHook                                       0x080A1330  0x090429C9
FollowMe_CreateAvatarHook2                              0x080570EC  0x09042A23
FollowMe_StairsMoveHook                                 0x0807EB28  0x09042A2B
FollowMe_EscalatorMoveHook                              0x08084868  0x09042A41
FollowMe_EscalatorWarpEndHook                           0x08084ACC  0x09042A59
Task_PlayerExitDoor                                     0x0807DFBC  0x09098BFD
FollowMe_WarpArrowEndHook                               0x0807E2B8  0x09042A89
FollowMe_WarpNormalEndHook                              0x0807DF74  0x09042AA9
FollowMe_WarpTeleportEndHook                            0x0807E364  0x09042AB9
FollowMe_WarpStairsEndHook                              0x0807EC5A  0x09042AE3
FollowMe_WarpHoleEndHook                                0x08084770  0x09042AD9
FollowMe_LocalIdHook                                    0x0805DF60  0x09042B09
FollowMe_ScriptHook                                     0x0805FC20  0x09042B29
FollowMe_WhiteOutHook                                   0x08054E1A  0x09042B51
FollowMe_FishingHook                                    0x080A139C  0x09042B61
GiveMoveToBoxMon                                        0x0803E8B0  0x090A8DD5
SetMonMoveSlot                                          0x0803E964  0x090A8FE1
GiveBoxMonInitialMoveset                                0x0803E9E0  0x090A8E89
MonTryLearningNewMove                                   0x0803EA88  0x090A8819
GetMoveRelearnerMoves                                   0x08043C84  0x090A8AED
GetLevelUpMovesBySpecies                                0x08043DD4  0x090A8C8D
GetNumberOfRelearnableMoves                             0x08043E2C  0x090A8D05
PokedexLoadAlternateHeightHook                          0x081058DC  0x09042E59
PokedexLoadAlternateWeightHook                          0x08105A58  0x09042E91
SizeMinigameLoadAlternateHeightHook                     0x080A0774  0x09042EC5
PokedexScreenStats                                      0x08106370  0x090001E9
